Genus,Species,Family,Order
agapornis,růžovohrdlý,Psittaculidae,papoušci
agapornis,Fischerův,Psittaculidae,papoušci
ostralka,rudozobá,,
ara,ararauna,papouškovití,papoušci
korela,chocholatá,kakaduovití,papoušci
barnard,límcový,Psittaculidae,papoušci
berneška,havajská,kachnovití,vrubozobí
hýl,sibiřský,,
páv,korunkatý,bažantovití,hrabaví
čírka,kaštanová,kachnovití,vrubozobí
kanár,divoký,pěnkavovití,pěvci
husice,šedohlavá,,
nandu,pampový,nanduovití,nanduové
bažant,královský,bažantovití,hrabaví
amadina,pruhovaná,,
plameňák,americký,plameňákovití,plameňáci
bažant,zelený,,
arara,patagonský,,
papouškovec,nádherný,,
čírka,kropenatá,,
labuť,černá,kachnovití,vrubozobí
kachnička,karolínská,kachnovití,vrubozobí
pelikán,africký,pelikánovití,brodiví a pelikáni
perlička,kropenatá,perličkovití,hrabaví
kachnička,šedoboká,kachnovití,vrubozobí
hohol,bělavý,kachnovití,vrubozobí
papoušek,senegalský,papouškovití,papoušci
bažant,zlatý,bažantovití,hrabaví
krocan,divoký,krocanovití,hrabaví
plameňák,chilský,plameňákovití,plameňáci
alexandr,čínský,papouškovití,papoušci
